1,Resident Evil 4,"Jan 11, 2005",96
2,Pikmin 2,"Aug 30, 2004",90
3,Pokemon Ultra Moon,"Nov 17, 2017",84
4,Kingdom Hearts HD I.5 + II.5 Remix,"Mar 28, 2017",84
5,The Wolf Among Us: Episode 1 - Faith,"Oct 11, 2013",85
6,Counter-Strike,"Nov  8, 2000",88
7,Final Fantasy Tactics,"Jan 28, 1998",83
8,Bayonetta 2,"Sep 20, 2014",91
9,Resident Evil 2,"Jan 21, 1998",89
10,Deus Ex,"Jun 23, 2000",90
11,The Legend of Zelda: Majora's Mask 3D,"Feb 13, 2015",89
12,GoldenEye 007,"Aug 25, 1997",96
13,The Witcher 3: Wild Hunt - Hearts of Stone,"Oct 13, 2015",89
14,Kingdom Hearts HD 2.5 ReMIX,"Dec  2, 2014",81
15,Final Fantasy X / X-2 HD Remaster,"May 12, 2016",83
16,Genma Onimusha,"Jan 28, 2002",83
17,Gun,"Nov  8, 2005",77
18,The Evil Within 2,"Oct 13, 2017",82
19,Banjo-Tooie,"Nov 19, 2000",90
20,Team Fortress 2,"Oct 10, 2007",92
21,Resident Evil 2,"Jan 25, 2019",89
22,Metroid: Samus Returns,"Sep 15, 2017",85
23,Day of Defeat: Source,"Sep 26, 2005",80
24,Burnout 3: Takedown,"Sep  7, 2004",93
25,The Witcher 3: Wild Hunt,"May 19, 2015",91
26,The Evil Within 2,"Oct 12, 2017",80
27,NieR: Automata - Become as Gods Edition,"Jun 26, 2018",90
28,Ogre Battle 64,"Oct  7, 2000",82
29,Okami HD,"Oct 30, 2012",90
30,Age of Empires II: The Age of Kings,"Sep 30, 1999",92
31,Mario Kart 8 DLC Pack 2,"Apr 23, 2015",90
32,Metroid Fusion,"Nov 17, 2002",92
33,Dino Crisis,"Nov 14, 2000",74
34,The Witcher 3: Wild Hunt - Blood and Wine,"May 30, 2016",91
35,Metroid Prime Trilogy,"Aug 24, 2009",91
36,Black Mesa,"Sep 14, 2012",86
37,The Legend of Zelda: The Wind Waker HD,"Sep 20, 2013",90
38,Ace Combat 04: Shattered Skies,"Nov  1, 2001",89
39,Haunting Ground,"May 10, 2005",67
40,The Legend of Zelda: Ocarina of Time / Master Quest,"Feb 28, 2003",91
41,Thief: The Dark Project,"Nov 30, 1998",92
42,Final Fantasy,"Jun 26, 2007",67
43,Tekken 3,"Apr 29, 1998",96
44,Growlanser Generations,"Dec  7, 2004",81
45,Final Fantasy Tactics: The War of the Lions,"Oct  9, 2007",88
46,Devil May Cry 3: Special Edition,"Jan 24, 2006",87
47,God of War,"Apr 20, 2018",94
48,Rayman 2: The Great Escape,"Oct 31, 1999",90
49,The Legend of Zelda: A Link Between Worlds,"Nov 22, 2013",91
50,Parasite Eve II,"Jan 12, 2000",79
51,Shadow Hearts,"Dec 11, 2001",73
52,The Orange Box,"Oct 10, 2007",96
53,The Witcher 3: Wild Hunt - Blood and Wine,"May 30, 2016",92
54,Cities: Skylines,"Mar 10, 2015",85
55,Dino Crisis 2,"Sep 29, 2000",86
56,Oddworld: Abe's Oddysee,"Aug 31, 1997",85
57,Resident Evil,"Mar 30, 1996",91
58,RimWorld,"Oct 17, 2018",86
59,Growlanser: Heritage of War,"Sep 18, 2007",60
60,Ace Combat 5: The Unsung War,"Oct 25, 2004",84
61,Conker's Bad Fur Day,"Mar  4, 2001",92
62,Vanquish,"Oct 19, 2010",84
63,Age of Empires II: The Conquerors Expansion,"Aug 24, 2000",88
